Time,Driver,DriverNumber,LapTime,LapNumber,Stint,PitOutTime,PitInTime,Sector1Time,Sector2Time,Sector3Time,Sector1SessionTime,Sector2SessionTime,Sector3SessionTime,SpeedI1,SpeedI2,SpeedFL,SpeedST,IsPersonalBest,Compound,TyreLife,FreshTyre,Team,LapStartTime,LapStartDate,TrackStatus,Position,Deleted,DeletedReason,FastF1Generated,IsAccurate
0 days 01:20:01.806000,HAM,44,0 days 00:01:08.434000,33.0,2.0,,,0 days 00:00:16.916000,0 days 00:00:30.831000,0 days 00:00:20.687000,0 days 01:19:10.307000,0 days 01:19:41.138000,0 days 01:20:01.825000,312.0,234.0,278.0,309.0,False,HARD,12.0,True,Mercedes,0 days 01:18:53.372000,2020-07-05 13:58:53.595,1,4.0,False,,False,True
0 days 01:21:10.062000,HAM,44,0 days 00:01:08.256000,34.0,2.0,,,0 days 00:00:17.226000,0 days 00:00:30.478000,0 days 00:00:20.552000,0 days 01:20:19.051000,0 days 01:20:49.529000,0 days 01:21:10.081000,294.0,234.0,284.0,308.0,False,HARD,13.0,True,Mercedes,0 days 01:20:01.806000,2020-07-05 14:00:02.029,1,4.0,False,,False,True
0 days 01:22:18.120000,HAM,44,0 days 00:01:08.058000,35.0,2.0,,,0 days 00:00:16.901000,0 days 00:00:30.600000,0 days 00:00:20.557000,0 days 01:21:26.982000,0 days 01:21:57.582000,0 days 01:22:18.139000,314.0,236.0,285.0,310.0,True,HARD,14.0,True,Mercedes,0 days 01:21:10.062000,2020-07-05 14:01:10.285,1,4.0,False,,False,True
0 days 01:23:26.267000,HAM,44,0 days 00:01:08.147000,36.0,2.0,,,0 days 00:00:16.899000,0 days 00:00:30.646000,0 days 00:00:20.602000,0 days 01:22:35.038000,0 days 01:23:05.684000,0 days 01:23:26.286000,313.0,237.0,284.0,312.0,False,HARD,15.0,True,Mercedes,0 days 01:22:18.120000,2020-07-05 14:02:18.343,1,4.0,False,,False,True
0 days 01:24:34.382000,HAM,44,0 days 00:01:08.115000,37.0,2.0,,,0 days 00:00:16.813000,0 days 00:00:30.660000,0 days 00:00:20.642000,0 days 01:23:43.099000,0 days 01:24:13.759000,0 days 01:24:34.401000,311.0,235.0,284.0,306.0,False,HARD,16.0,True,Mercedes,0 days 01:23:26.267000,2020-07-05 14:03:26.490,1,4.0,False,,False,True
0 days 01:25:42.751000,HAM,44,0 days 00:01:08.369000,38.0,2.0,,,0 days 00:00:16.880000,0 days 00:00:30.877000,0 days 00:00:20.612000,0 days 01:24:51.281000,0 days 01:25:22.158000,0 days 01:25:42.770000,313.0,232.0,285.0,313.0,False,HARD,17.0,True,Mercedes,0 days 01:24:34.382000,2020-07-05 14:04:34.605,1,4.0,False,,False,True
0 days 01:26:51.349000,HAM,44,0 days 00:01:08.598000,39.0,2.0,,,0 days 00:00:17.146000,0 days 00:00:30.761000,0 days 00:00:20.691000,0 days 01:25:59.916000,0 days 01:26:30.677000,0 days 01:26:51.368000,,236.0,283.0,314.0,False,HARD,18.0,True,Mercedes,0 days 01:25:42.751000,2020-07-05 14:05:42.974,1,4.0,False,,False,True
0 days 01:27:59.816000,HAM,44,0 days 00:01:08.467000,40.0,2.0,,,0 days 00:00:17.044000,0 days 00:00:30.602000,0 days 00:00:20.821000,0 days 01:27:08.412000,0 days 01:27:39.014000,0 days 01:27:59.835000,312.0,235.0,280.0,314.0,False,HARD,19.0,True,Mercedes,0 days 01:26:51.349000,2020-07-05 14:06:51.572,1,4.0,False,,False,True
0 days 01:29:08.628000,HAM,44,0 days 00:01:08.812000,41.0,2.0,,,0 days 00:00:17.170000,0 days 00:00:30.925000,0 days 00:00:20.717000,0 days 01:28:17.005000,0 days 01:28:47.930000,0 days 01:29:08.647000,293.0,236.0,277.0,294.0,False,HARD,20.0,True,Mercedes,0 days 01:27:59.816000,2020-07-05 14:08:00.039,1,4.0,False,,False,True
0 days 01:30:17.085000,HAM,44,0 days 00:01:08.457000,42.0,2.0,,,0 days 00:00:17.218000,0 days 00:00:30.694000,0 days 00:00:20.545000,0 days 01:29:25.865000,0 days 01:29:56.559000,0 days 01:30:17.104000,294.0,238.0,277.0,300.0,False,HARD,21.0,True,Mercedes,0 days 01:29:08.628000,2020-07-05 14:09:08.851,1,4.0,False,,False,True
0 days 01:31:25.468000,HAM,44,0 days 00:01:08.383000,43.0,2.0,,,0 days 00:00:17.291000,0 days 00:00:30.579000,0 days 00:00:20.513000,0 days 01:30:34.395000,0 days 01:31:04.974000,0 days 01:31:25.487000,296.0,237.0,277.0,300.0,False,HARD,22.0,True,Mercedes,0 days 01:30:17.085000,2020-07-05 14:10:17.308,1,4.0,False,,False,True
0 days 01:32:33.916000,HAM,44,0 days 00:01:08.448000,44.0,2.0,,,0 days 00:00:17.286000,0 days 00:00:30.562000,0 days 00:00:20.600000,0 days 01:31:42.773000,0 days 01:32:13.335000,0 days 01:32:33.935000,298.0,238.0,277.0,299.0,False,HARD,23.0,True,Mercedes,0 days 01:31:25.468000,2020-07-05 14:11:25.691,1,4.0,False,,False,True
