Time,Driver,DriverNumber,LapTime,LapNumber,Stint,PitOutTime,PitInTime,Sector1Time,Sector2Time,Sector3Time,Sector1SessionTime,Sector2SessionTime,Sector3SessionTime,SpeedI1,SpeedI2,SpeedFL,SpeedST,IsPersonalBest,Compound,TyreLife,FreshTyre,Team,LapStartTime,LapStartDate,TrackStatus,Position,Deleted,DeletedReason,FastF1Generated,IsAccurate
0 days 01:01:12.261000,ALB,23,0 days 00:01:42.230000,16.0,2.0,,,0 days 00:00:27.544000,0 days 00:00:40.970000,0 days 00:00:33.716000,0 days 00:59:57.581000,0 days 01:00:38.551000,0 days 01:01:12.267000,202.0,177.0,203.0,287.0,False,MEDIUM,15.0,True,Red Bull Racing,0 days 00:59:30.031000,2019-11-03 19:39:30.747,1,13.0,False,,False,True
0 days 01:02:54.645000,ALB,23,0 days 00:01:42.384000,17.0,2.0,,,0 days 00:00:27.743000,0 days 00:00:40.845000,0 days 00:00:33.796000,0 days 01:01:40.010000,0 days 01:02:20.855000,0 days 01:02:54.651000,198.0,177.0,201.0,288.0,False,MEDIUM,16.0,True,Red Bull Racing,0 days 01:01:12.261000,2019-11-03 19:41:12.977,1,13.0,False,,False,True
0 days 01:04:37.016000,ALB,23,0 days 00:01:42.371000,18.0,2.0,,,0 days 00:00:27.700000,0 days 00:00:40.936000,0 days 00:00:33.735000,0 days 01:03:22.351000,0 days 01:04:03.287000,0 days 01:04:37.022000,201.0,178.0,202.0,288.0,False,MEDIUM,17.0,True,Red Bull Racing,0 days 01:02:54.645000,2019-11-03 19:42:55.361,1,13.0,False,,False,True
0 days 01:06:19.818000,ALB,23,0 days 00:01:42.802000,19.0,2.0,,,0 days 00:00:27.799000,0 days 00:00:40.947000,0 days 00:00:34.056000,0 days 01:05:04.821000,0 days 01:05:45.768000,0 days 01:06:19.824000,198.0,178.0,203.0,286.0,False,MEDIUM,18.0,True,Red Bull Racing,0 days 01:04:37.016000,2019-11-03 19:44:37.732,1,11.0,False,,False,True
0 days 01:08:03.288000,ALB,23,0 days 00:01:43.470000,20.0,2.0,,0 days 01:08:02.398000,0 days 00:00:27.803000,0 days 00:00:41.484000,0 days 00:00:34.183000,0 days 01:06:47.627000,0 days 01:07:29.111000,0 days 01:08:03.294000,193.0,177.0,,286.0,False,MEDIUM,19.0,True,Red Bull Racing,0 days 01:06:19.818000,2019-11-03 19:46:20.534,1,9.0,False,,False,False
0 days 01:10:03.340000,ALB,23,0 days 00:02:00.052000,21.0,3.0,0 days 01:08:25.599000,,0 days 00:00:47.121000,0 days 00:00:40.232000,0 days 00:00:32.699000,0 days 01:08:50.415000,0 days 01:09:30.647000,0 days 01:10:03.346000,207.0,180.0,206.0,288.0,False,MEDIUM,1.0,True,Red Bull Racing,0 days 01:08:03.288000,2019-11-03 19:48:04.004,1,15.0,False,,False,False
0 days 01:11:43.777000,ALB,23,0 days 00:01:40.437000,22.0,3.0,,,0 days 00:00:27.387000,0 days 00:00:40.361000,0 days 00:00:32.689000,0 days 01:10:30.733000,0 days 01:11:11.094000,0 days 01:11:43.783000,201.0,177.0,207.0,320.0,False,MEDIUM,2.0,True,Red Bull Racing,0 days 01:10:03.340000,2019-11-03 19:50:04.056,1,12.0,False,,False,True
0 days 01:13:23.370000,ALB,23,0 days 00:01:39.593000,23.0,3.0,,,0 days 00:00:26.989000,0 days 00:00:40.090000,0 days 00:00:32.514000,0 days 01:12:10.772000,0 days 01:12:50.862000,0 days 01:13:23.376000,215.0,182.0,206.0,289.0,True,MEDIUM,3.0,True,Red Bull Racing,0 days 01:11:43.777000,2019-11-03 19:51:44.493,1,12.0,False,,False,True
0 days 01:15:03.595000,ALB,23,0 days 00:01:40.225000,24.0,3.0,,,0 days 00:00:27.018000,0 days 00:00:40.396000,0 days 00:00:32.811000,0 days 01:13:50.394000,0 days 01:14:30.790000,0 days 01:15:03.601000,212.0,180.0,207.0,287.0,False,MEDIUM,4.0,True,Red Bull Racing,0 days 01:13:23.370000,2019-11-03 19:53:24.086,1,12.0,False,,False,True
0 days 01:16:42.799000,ALB,23,0 days 00:01:39.204000,25.0,3.0,,,0 days 00:00:26.907000,0 days 00:00:39.740000,0 days 00:00:32.557000,0 days 01:15:30.508000,0 days 01:16:10.248000,0 days 01:16:42.805000,213.0,180.0,206.0,326.0,True,MEDIUM,5.0,True,Red Bull Racing,0 days 01:15:03.595000,2019-11-03 19:55:04.311,1,10.0,False,,False,True
